#Exp,t,N0,N1,N2
1,0.0,5.0,3.0,1.0
1,0.5,0.29251529760424355,1.8148971767554647,0.8097480776290746
1,1.0,0.12106125830894195,1.5670443283336903,1.0627941467338626
1,2.0,0.12386600684592132,1.074576401518213,1.5848412480096108
1,2.5,0.26169485650569924,0.8569817414618023,1.7278888977622289
1,3.0,0.6866690967391847,0.6814702607327143,1.6852206126511329
1,5.0,2.2357862183251647,0.5805979812295753,0.48384244994713965
1,7.5,0.5324164785699893,1.4359849514220557,0.6342112916375455
1,10.0,0.6723079356402356,0.8081305720003444,1.5357657054512046
2,0.0,1.4,4.0,2.7
2,1.2121212121212122,0.22382901602125263,0.8677044669339167,1.8037903546712324
2,1.4141414141414144,0.33105057512744324,0.7799313384976676,1.8068600853766474
2,1.6161616161616164,0.5032644274419432,0.7047103103520274,1.7787725620378387
2,2.121212121212121,1.2660415235556344,0.5604158311478258,1.504103079101151
2,3.8383838383838387,2.2701044151020078,0.575485315582006,0.4444909175498641
2,4.343434343434343,2.040038732371551,0.7047285532399209,0.36610740385601326
2,4.848484848484849,1.6876443314757843,0.8851968286615949,0.34468482198094014
2,6.0606060606060606,0.6530304215175013,1.4044193044583784,0.5307792459927471
2,7.575757575757577,0.19045411827081773,1.28721375801494,1.2680289993106448
2,9.191919191919192,1.0362941770653735,0.692836314556929,1.456976652455542
2,10.0,1.9083688551226596,0.5760729540710227,0.9436958784806648
