#Exp,t,dh,yl,gc,bl,bl2,le
1,0,1.23E+04,1.49E+04,3.95E+03,993939.3939,966329.9663,773063.9731
1,1,1.20E+05,9.90E+04,4.00E+03,1088829.787,1013085.106,530212.766
1,2,1.98E+06,8.75E+05,3.50E+03,998092.6431,1915258.856,741825.6131
1,3,1.02E+07,1.50E+06,1.75E+05,1293438.32,1097112.861,808398.9501
1,4,2.10E+07,2.05E+06,2.25E+06,945767.1958,1152116.402,352513.2275
1,5,2.50E+07,7.50E+06,1.35E+07,2335416.667,336458.3333,286979.1667
1,6,2.75E+07,2.35E+07,6.00E+06,1370703.125,1178125,430468.75
1,7,2.65E+07,1.45E+07,3.15E+07,1867187.5,19605468.75,560156.25
1,8,2.80E+07,2.00E+07,3.10E+07,5137795.276,56161417.32,3011811.024
1,9,2.65E+07,2.30E+07,3.50E+07,36326625.39,331626935,2343653.251
1,10,1.65E+07,2.35E+07,3.65E+07,169135883.9,433944591,39294195.25
1,11,1.65E+07,3.80E+07,6.00E+07,178010471.2,753926701.6,60209424.08
1,12,4.00E+06,6.90E+07,4.25E+07,303674540.7,914435695.5,81889763.78
1,13,7.50E+06,5.10E+07,5.70E+07,290213903.7,748823529.4,283048128.3
1,14,5.00E+06,4.15E+07,4.90E+07,404585561.5,1755748663,687032085.6
1,15,9.00E+06,1.32E+08,4.50E+07,439814814.8,3041005291,1244047619
1,16,5.00E+06,8.45E+07,5.90E+07,500958005.2,2216102362,475485564.3
1,17,3.50E+06,1.09E+08,3.55E+07,786842105.3,5296052632,5386842105
1,18,3.50E+06,1.93E+08,4.55E+07,432592105.3,3139065789,621157894.7
1,19,1.50E+06,1.09E+08,4.15E+07,737414248,3103284960,1966437995
1,20,3.00E+06,2.76E+08,5.20E+07,229551451.2,1847889182,2272559367
1,21,1.00E+06,1.72E+08,3.30E+07,613612565.4,7478403141,6519633508
2,0,1.11E+04,7.00E+03,3.85E+03,1.02E+06,8.35E+05,4.01E+05
2,1,7.35E+04,5.05E+04,1.00E+03,1.00E+06,8.23E+05,3.10E+05
2,2,9.95E+05,5.15E+05,2.50E+03,1.21E+06,8.25E+05,5.72E+05
2,3,8.55E+06,1.22E+06,1.65E+05,1.13E+06,7.18E+05,2.63E+05
2,4,1.61E+07,1.95E+06,5.05E+06,1.11E+06,7.93E+05,7.21E+05
2,5,2.95E+07,2.50E+06,8.00E+06,2.18E+06,5.03E+05,1.83E+05
2,6,2.35E+07,4.50E+06,2.70E+07,1.02E+06,1.13E+06,1.87E+05
2,7,2.30E+07,1.00E+07,2.70E+07,1.75E+06,2.22E+07,5.59E+05
2,8,1.90E+07,2.25E+07,3.20E+07,5.01E+06,7.54E+07,4.53E+06
2,9,2.40E+07,2.30E+07,4.95E+07,4.90E+07,2.50E+08,3.95E+06
2,10,1.60E+07,3.05E+07,4.30E+07,7.93E+07,3.30E+08,1.12E+07
2,11,1.30E+07,3.30E+07,3.75E+07,2.08E+08,6.46E+08,3.59E+07
2,12,1.35E+07,2.80E+07,4.10E+07,2.37E+08,9.30E+08,7.91E+07
2,13,4.50E+06,8.15E+07,5.05E+07,3.39E+08,1.12E+09,1.13E+08
2,14,3.50E+06,4.65E+07,2.00E+07,2.56E+08,2.88E+09,1.68E+08
2,15,3.00E+06,5.80E+07,5.70E+07,4.26E+08,1.76E+09,6.47E+08
2,16,3.00E+06,6.35E+07,4.00E+07,3.40E+08,4.53E+09,1.44E+09
2,17,1.50E+06,9.70E+07,5.40E+07,3.08E+08,1.30E+09,1.28E+09
2,18,4.00E+06,5.85E+07,3.75E+07,3.38E+08,3.12E+09,5.32E+08
2,19,3.00E+06,1.83E+08,4.45E+07,3.53E+08,1.91E+09,1.74E+09
2,20,3.00E+06,1.51E+08,5.20E+07,7.34E+08,3.72E+09,1.70E+09
2,21,2.50E+06,4.50E+07,5.20E+07,1.88E+09,4.10E+09,6.72E+09
3,0,11700,10925,3900,1006212.65,900858.65,586796.07
3,1,96750,74750,2500,1045355.79,917884.27,419868.61
3,2,1485000,695000,3000,1104345.23,1370333.23,657054.11
3,3,9375000,1357500,170000,1212825.83,907356.43,535759.48
3,4,18500000,2000000,3650000,1026626.91,972314.89,536951.8
3,5,27250000,5000000,10750000,2259744.89,419534.65,234873.4
3,6,25500000,14000000,16500000,1194496.3,1154259.87,308655.43
3,7,24750000,12250000,29250000,1807617.19,20920312.5,559765.63
3,8,23500000,21250000,31500000,5074897.64,65790041.99,3773238.85
3,9,25250000,23000000,42250000,42647646.9,290604590.2,3146369.71
3,10,16250000,27000000,39750000,124201823.5,382206506,25229334.47
3,11,14750000,35500000,48750000,193152061,700177636.5,48061061.25
3,12,8750000,48500000,41750000,270508156.4,922407721.2,80501843.92
3,13,6000000,66250000,53750000,314392666.2,932427637.7,197952635.6
3,14,4250000,44000000,34500000,330177396.1,2319883615,427302514.9
3,15,6000000,95000000,51000000,433080740.7,2399842646,945590476.2
3,16,4000000,74000000,49500000,420265098.9,3374695566,959333691.2
3,17,2500000,103000000,44750000,547279573.5,3296097055,3332167033
3,18,3750000,125750000,41500000,385046052.6,3127225202,576684716.6
3,19,2250000,145750000,43000000,545273881.5,2506206513,1855017362
3,20,3000000,213250000,52000000,481818165.9,2783626289,1984555545
3,21,1750000,108500000,42500000,1248889616,5789618237,6621761198
